,Date,Open,High,Low,Close,Adj Close,Volume
142,1996-07-17,6.938888,7.022222,6.901111,6.966666,4.571259,144319500.0
143,1996-07-18,6.994444,7.122222,6.975555,7.037777,4.617918,183604500.0
144,1996-07-19,7.065555,7.1,6.944444,6.984444,4.582924,85104000.0
145,1996-07-22,6.91,7.108888,6.824444,6.967777,4.571988,110304000.0
146,1996-07-23,7.016666,7.055555,6.911111,6.942222,4.55522,127287000.0
147,1996-07-24,6.927777,6.966666,6.73,6.852222,4.496164,208746000.0
148,1996-07-25,6.833333,6.91,6.822222,6.838888,4.487415,81180000.0
149,1996-07-26,6.875555,6.878888,6.717777,6.773333,4.4444,144027000.0
150,1996-07-29,6.788888,6.827777,6.508888,6.537777,4.289837,254844000.0
151,1996-07-30,6.491111,6.491111,6.207777,6.327777,4.152044,371394000.0
152,1996-07-31,6.377777,6.788888,6.272222,6.72,4.409405,507483000.0
153,1996-08-01,6.838888,7.016666,6.733333,6.775555,4.445859,509188500.0
154,1996-08-02,6.755555,6.855555,6.602222,6.763333,4.437839,444348000.0
155,1996-08-05,6.833333,6.933333,6.802222,6.832222,4.483042,304956000.0
156,1996-08-06,6.833333,7.0,6.636666,6.802222,4.463356,377064000.0
157,1996-08-07,6.755555,6.812222,6.714444,6.785555,4.452419,91381500.0
158,1996-08-08,6.817777,6.817777,6.623333,6.653333,4.365663,93406500.0
159,1996-08-09,6.644444,6.731111,6.583333,6.705555,4.399928,126238500.0
160,1996-08-12,6.748888,6.84,6.716666,6.776666,4.446588,141907500.0
161,1996-08-13,6.756666,6.911111,6.75,6.855555,4.498353,129604500.0
162,1996-08-14,6.792222,6.805555,6.722222,6.751111,4.429821,75834000.0
163,1996-08-15,6.751111,6.751111,6.751111,6.751111,4.429821,0.0
164,1996-08-16,6.738888,6.785555,6.631111,6.665555,4.373682,118971000.0
165,1996-08-19,6.6,6.6,6.278888,6.307777,4.13892,209794500.0
166,1996-08-20,6.277777,6.438888,6.272222,6.345555,4.163709,139149000.0
167,1996-08-21,6.4,6.455555,6.361111,6.424444,4.215474,86971500.0
168,1996-08-22,6.456666,6.488888,6.305555,6.325555,4.150586,87988500.0
169,1996-08-23,6.291111,6.415555,6.272222,6.388888,4.192142,70429500.0
170,1996-08-26,6.421111,6.421111,6.242222,6.258888,4.106842,99459000.0
171,1996-08-27,6.25,6.411111,6.162222,6.322222,4.148399,200808000.0
172,1996-08-28,6.377777,6.438888,6.311111,6.387777,4.191413,71779500.0
173,1996-08-29,6.4,6.505555,6.373333,6.412222,4.207453,111357000.0
174,1996-08-30,6.411111,6.453333,6.374444,6.44,4.22568,60952500.0
175,1996-09-02,6.477777,6.661111,6.45,6.594444,4.327021,143572500.0
176,1996-09-03,6.665555,6.707777,6.511111,6.616666,4.341601,179784000.0
177,1996-09-04,6.511111,6.577777,6.473333,6.558888,4.303689,79492500.0
178,1996-09-05,6.594444,6.648888,6.555555,6.634444,4.353267,69291000.0
179,1996-09-06,6.642222,6.722222,6.582222,6.673333,4.378786,142956000.0
180,1996-09-09,6.671111,6.671111,6.567777,6.583333,4.31973,116122500.0
181,1996-09-10,6.577777,6.588888,6.5,6.562222,4.305879,112117500.0
182,1996-09-11,6.55,6.577777,6.366666,6.382222,4.187768,128731500.0
183,1996-09-12,6.397777,6.413333,6.312222,6.386666,4.190684,120370500.0
184,1996-09-13,6.422222,6.444444,6.334444,6.35,4.166626,83268000.0
185,1996-09-16,6.333333,6.338888,6.206666,6.236666,4.092261,148135500.0
186,1996-09-17,6.224444,6.593333,6.222222,6.425555,4.216202,101574000.0
187,1996-09-18,6.488888,6.752222,6.372222,6.682222,4.384618,157909500.0
188,1996-09-19,6.666666,6.72,6.478888,6.507777,4.270153,196929000.0
189,1996-09-20,6.511111,6.607777,6.49,6.538888,4.290566,96763500.0
190,1996-09-23,6.511111,6.555555,6.478888,6.526666,4.282547,77872500.0
191,1996-09-24,6.554444,6.744444,6.553333,6.682222,4.384618,247869000.0
192,1996-09-25,6.71,6.786666,6.626666,6.653333,4.365663,155137500.0
193,1996-09-26,6.666666,6.666666,6.544444,6.598888,4.329937,113598000.0
194,1996-09-27,6.6,6.681111,6.523333,6.608888,4.336498,187092000.0
195,1996-09-30,6.622222,6.753333,6.6,6.732222,4.417426,164398500.0
196,1996-10-01,6.754444,7.188888,6.712222,6.805555,4.465543,240903000.0
197,1996-10-02,6.805555,6.805555,6.805555,6.805555,4.465543,0.0
198,1996-10-03,6.8,6.966666,6.777777,6.937777,4.552302,303381000.0
199,1996-10-04,6.955555,7.01,6.766666,6.855555,4.498353,334696500.0
200,1996-10-07,6.834444,6.844444,6.56,6.736666,4.420341,346864500.0
201,1996-10-08,6.712222,7.133333,6.656666,7.036666,4.61719,441364500.0
202,1996-10-09,6.911111,6.988888,6.833333,6.903333,4.529702,195336000.0
203,1996-10-10,6.907777,7.2,6.891111,7.17,4.704679,325944000.0
204,1996-10-11,7.22,7.315555,7.166666,7.211111,4.731655,342256500.0
205,1996-10-14,7.173333,7.173333,7.022222,7.09,4.652185,193725000.0
206,1996-10-15,7.064444,7.263333,6.78,7.077777,4.644165,381001500.0
207,1996-10-16,6.917777,7.311111,6.862222,6.905555,4.531159,262372500.0
208,1996-10-17,6.878888,6.878888,6.646666,6.767777,4.440754,347332500.0
